record,date,DATE2,WEIGHT,QS1,HIDWARD,neighbourhood,gender,QS3,age,concerned (0.5),Q1r2,informed (0.2),Q3,Q3_R1,Q3_R2,Q3_R3,Q3_R4,Q3_R5,Q4,Q5r1,Q5r2,Q5r3,Q5r5,toronto_action (0.1),Q7,dont_know_how,reduce_emissions,health_threat (0.2),Q8r4,Q8r5,cant_make_difference,Q9r1,Q9r2,Q9r3,Q9r4,Q9r5,Q9r6,Q9r7,energy_efficient,reduce_consumption,drive_less,electric_vehicle,less_meat,reduce_waste,green_products,walk,waste_bins,Q11_Lr1r1,Q11_Lr1r2,Q11_Lr1r3,Q11_Lr1r4,Q11_Lr1r5,Q11_Lr1r6,Q11_Lr1r7,Q11_Lr1r8,Q11_Lr2r1,Q11_Lr2r2,Q11_Lr2r3,Q11_Lr2r4,Q11_Lr2r5,Q11_Lr2r6,Q11_Lr2r7,Q11_Lr2r8,Q11_Lr3r1,Q11_Lr3r2,Q11_Lr3r3,Q11_Lr3r4,Q11_Lr3r5,Q11_Lr3r6,Q11_Lr3r7,Q11_Lr3r8,Q11_Lr4r1,Q11_Lr4r2,Q11_Lr4r3,Q11_Lr4r4,Q11_Lr4r5,Q11_Lr4r6,Q11_Lr4r7,Q11_Lr4r8,Q11_Lr5r1,Q11_Lr5r2,Q11_Lr5r3,Q11_Lr5r4,Q11_Lr5r5,Q11_Lr5r6,Q11_Lr5r7,Q11_Lr5r8,Q11_Lr6r1,Q11_Lr6r2,Q11_Lr6r3,Q11_Lr6r4,Q11_Lr6r5,Q11_Lr6r6,Q11_Lr6r7,Q11_Lr6r8,Q11_Lr7r1,Q11_Lr7r2,Q11_Lr7r3,Q11_Lr7r4,Q11_Lr7r5,Q11_Lr7r6,Q11_Lr7r7,Q11_Lr7r8,Q11_Lr8r1,Q11_Lr8r2,Q11_Lr8r3,Q11_Lr8r4,Q11_Lr8r5,Q11_Lr8r6,Q11_Lr8r7,Q11_Lr8r8,Q11_Lr9r1,Q11_Lr9r2,Q11_Lr9r3,Q11_Lr9r4,Q11_Lr9r5,Q11_Lr9r6,Q11_Lr9r7,Q11_Lr9r8,Q12r1,Q12r2,Q12r3,Q12r4,Q12r5,Q12r6,Q12_R1,Q12r6oe,Q13r1,Q13r2,Q13r3,Q13r4,Q13r5,Q13r6,Q13r7,Q13r8,Q13r9,Q13r10,Q13r11,Q13_R1,Q13r10oe,QD1,QD1_R1,D1r5oe,care,care_binary,takes_action,takes_action_binary,home_ownership,QD3r1,noanswerD3_r99,children,noanswerD4_r99,education,income,vdecLang
331,10/13/2018 19:44,13,0.869644000000,M6M,Ward 11,York South-Weston,Man,1948,70,100,Extremely concerned,100,The flooding of 2012.,Storms/floods/unusual rainfalls,#NULL!,#NULL!,#NULL!,#NULL!,Yes,Municipal (City),NO TO: Provincial,Federal,NO TO: None of the above,100,No,100,100,100,25,50,100,A significant impact,A significant impact,A significant impact,A significant impact,A significant impact,A significant impact,A significant impact,100,100,100,100,100,100,60,100,100,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Verymotivating,Not very motivating,Verymotivating,Somewhat motivating,Somewhat motivating,#NULL!,#NULL!,,Toronto.ca website,City of Toronto events,NO TO: Twitter,NO TO: Facebook,NO TO: Instagram,City of Toronto e-newsletters / email,Councillor communications,"Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","NO TO: Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,"Multi-unit residence (apartment, condominium building)",#NULL!,,100,1,97.2,1,Own,3,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",0,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Some university,"$40,001 to $60,000",English (USA)
333,10/13/2018 19:43,13,0.822520000000,M4x,Ward 23,Toronto Centre,Man,1971,47,75,Very concerned,75,"Weather patttern changes, tempature",Climate changes/abnormal weather patterns/erratic weather/extended seasons,Extreme temperatures/sudden temperature fluctuations/too hot summers/too cold winters,#NULL!,#NULL!,#NULL!,Yes,NO TO: Municipal (City),NO TO: Provincial,NO TO: Federal,None of the above,100,Don’t know,75,75,75,50,100,25,A significant impact,Somewhat of an impact,A significant impact,A significant impact,Somewhat of an impact,A significant impact,A significant impact,80,80,100,80,80,80,80,100,80,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Somewhat motivating,Somewhat motivating,Verymotivating,Somewhat motivating,Somewhat motivating,#NULL!,#NULL!,,NO TO: Toronto.ca website,NO TO: City of Toronto events,NO TO: Twitter,NO TO: Facebook,NO TO: Instagram,City of Toronto e-newsletters / email,NO TO: Councillor communications,"Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","NO TO: Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,Semi-detached house / duplex,#NULL!,,77.5,1,73.45,1,Rent,4,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",0,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Completed undergraduate degree,"$60,001 to $80,000",English (USA)
354,10/13/2018 20:24,13,0.759095000000,M8x,Ward 5,#NULL!,Woman,1957,61,100,Extremely concerned,50,Stronger storms with high winds,Storms/floods/unusual rainfalls,#NULL!,#NULL!,#NULL!,#NULL!,Yes,NO TO: Municipal (City),NO TO: Provincial,Federal,NO TO: None of the above,100,No,50,75,100,75,75,100,A significant impact,Somewhat of an impact,Somewhat of an impact,A significant impact,A significant impact,Somewhat of an impact,A significant impact,100,100,100,60,100,80,80,100,100,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,#NULL!,#NULL!,,Toronto.ca website,City of Toronto events,Twitter,NO TO: Facebook,NO TO: Instagram,City of Toronto e-newsletters / email,Councillor communications,"Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","NO TO: Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,"Multi-unit residence (apartment, condominium building)",#NULL!,,90,1,85.15,1,Own,2,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",0,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Some university,"$80,001 to $100,000",English (USA)
357,10/13/2018 20:11,13,0.822520000000,M4K,Ward 34,Toronto-Danforth,Man,1970,48,100,Extremely concerned,100,"weather extremes - summer heat, winter cold, precipitation events",Climate changes/abnormal weather patterns/erratic weather/extended seasons,Extreme temperatures/sudden temperature fluctuations/too hot summers/too cold winters,Storms/floods/unusual rainfalls,#NULL!,#NULL!,Yes,NO TO: Municipal (City),NO TO: Provincial,Federal,NO TO: None of the above,100,No,100,100,100,100,25,100,Not much of an impact,No impact,Not much of an impact,Not much of an impact,No impact,Not much of an impact,Not much of an impact,100,100,100,60,40,100,80,100,100,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,NO TO: This is not convenient for me to do,I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating,#NULL!,#NULL!,,Toronto.ca website,NO TO: City of Toronto events,NO TO: Twitter,Facebook,NO TO: Instagram,City of Toronto e-newsletters / email,Councillor communications,"NO TO: Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","NO TO: Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,Semi-detached house / duplex,#NULL!,,100,1,91.6,1,Own,4,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",2,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Post graduate/professional school,"More than $150,000",English (USA)
361,10/13/2018 20:17,13,0.677169000000,M1K,Ward 39,Scarborough Southwest,Man,1980,38,100,Extremely concerned,75,The weather getting too extreme,Climate changes/abnormal weather patterns/erratic weather/extended seasons,#NULL!,#NULL!,#NULL!,#NULL!,Yes,Municipal (City),NO TO: Provincial,NO TO: Federal,NO TO: None of the above,100,No,75,100,100,75,100,100,A significant impact,A significant impact,A significant impact,A significant impact,A significant impact,Not much of an impact,A significant impact,80,80,80,60,80,80,80,80,80,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating,#NULL!,#NULL!,,Toronto.ca website,NO TO: City of Toronto events,NO TO: Twitter,NO TO: Facebook,NO TO: Instagram,NO TO: City of Toronto e-newsletters / email,NO TO: Councillor communications,"NO TO: Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","NO TO: Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,"Multi-unit residence (apartment, condominium building)",#NULL!,,95,1,82.25,1,Rent,1,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",#NULL!,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,High school or less,"Under $40,000",English (USA)
363,10/13/2018 20:22,13,0.822520000000,m4c,Ward 35,Beaches-East York,Man,1956,62,100,Extremely concerned,75,"Less rain during  the summer , not enough snow at some winters.",Change in foliage/drought/trees dying,Warm temperatures in Fall/Winter seasons,#NULL!,#NULL!,#NULL!,Yes,NO TO: Municipal (City),NO TO: Provincial,NO TO: Federal,None of the above,100,No,50,100,75,75,100,75,Not much of an impact,Somewhat of an impact,Not much of an impact,Somewhat of an impact,Not much of an impact,Not much of an impact,Somewhat of an impact,100,60,60,40,60,60,100,60,100,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO: This is not available for me to do,NO TO: This is not convenient for me to do,NO TO: I’m not interested in making this change,Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Not very motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Verymotivating,#NULL!,#NULL!,,NO TO: Toronto.ca website,City of Toronto events,NO TO: Twitter,NO TO: Facebook,NO TO: Instagram,NO TO: City of Toronto e-newsletters / email,NO TO: Councillor communications,"Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,Semi-detached house / duplex,#NULL!,,90,1,70.55,1,Own,4,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",0,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Completed undergraduate degree,"$100,001 to $150,000",English (USA)
364,10/13/2018 20:20,13,0.806383000000,M1h,Ward 41,Scarborough-Guildwood,Woman,1968,50,75,Very concerned,50,Weather is extrme,Climate changes/abnormal weather patterns/erratic weather/extended seasons,#NULL!,#NULL!,#NULL!,#NULL!,Yes,NO TO: Municipal (City),NO TO: Provincial,Federal,NO TO: None of the above,100,No,50,75,100,100,100,75,A significant impact,A significant impact,A significant impact,Somewhat of an impact,Somewhat of an impact,No impact,A significant impact,20,100,20,20,60,80,60,80,100,I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,NO TO: This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,This is not available for me to do,NO TO: This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO: This is not available for me to do,NO TO: This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Verymotivating,Verymotivating,Verymotivating,Somewhat motivating,Somewhat motivating,#NULL!,#NULL!,,NO TO: Toronto.ca website,NO TO: City of Toronto events,NO TO: Twitter,Facebook,NO TO: Instagram,NO TO: City of Toronto e-newsletters / email,NO TO: Councillor communications,"NO TO: Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","NO TO: Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,Single-family detached house,#NULL!,,77.5,1,61.8,0,Own,4,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",0,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,"Completed community college, vocational, trade school","$60,001 to $80,000",English (USA)
368,10/13/2018 20:37,13,0.732199000000,M9L,Ward 7,Humber River-Black Creek,Woman,1986,32,75,Very concerned,50,The weather I would say is the only thing as I am not very informed.,Climate changes/abnormal weather patterns/erratic weather/extended seasons,#NULL!,#NULL!,#NULL!,#NULL!,Yes,Municipal (City),Provincial,Federal,NO TO: None of the above,0,No,75,75,100,100,100,75,Somewhat of an impact,Somewhat of an impact,Somewhat of an impact,Somewhat of an impact,Somewhat of an impact,No impact,Not much of an impact,60,100,20,40,60,40,100,40,100,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,This is not available for me to do,NO TO: This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO: This is not available for me to do,NO TO: This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,NO TO: This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Somewhat motivating,Somewhat motivating,Not at all motivating,Not very motivating,Not very motivating,#NULL!,#NULL!,,Toronto.ca website,City of Toronto events,NO TO: Twitter,NO TO: Facebook,NO TO: Instagram,NO TO: City of Toronto e-newsletters / email,NO TO: Councillor communications,"Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,Single-family detached house,#NULL!,,67.5,0,66.95,0,Own,3,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",2,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Completed undergraduate degree,"Under $40,000",English (USA)
371,10/13/2018 20:48,13,0.641285000000,M2M,Ward 29,#NULL!,Man,1972,46,50,Very concerned,75,Nothing,Nothing/haven't seen any impact so far/a typical weather system,#NULL!,#NULL!,#NULL!,#NULL!,No,NO TO: Municipal (City),NO TO: Provincial,Federal,NO TO: None of the above,0,No,50,100,100,75,100,75,Somewhat of an impact,Somewhat of an impact,Somewhat of an impact,Somewhat of an impact,Not much of an impact,Not much of an impact,Somewhat of an impact,40,60,40,100,20,60,60,60,100,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,This is not available for me to do,NO TO: This is not convenient for me to do,I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,This is not available for me to do,This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,This is not convenient for me to do,I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Somewhat motivating,Not very motivating,Not very motivating,Somewhat motivating,Not very motivating,#NULL!,#NULL!,,NO TO: Toronto.ca website,NO TO: City of Toronto events,NO TO: Twitter,NO TO: Facebook,NO TO: Instagram,City of Toronto e-newsletters / email,Councillor communications,"NO TO: Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","NO TO: Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,"Multi-unit residence (apartment, condominium building)",#NULL!,,60,0,63.55,0,Own,2,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",#NULL!,How many children under 18 are currently living in your household?: Prefer not to say.,Completed undergraduate degree,"$100,001 to $150,000",English (USA)
373,10/13/2018 20:39,13,0.916932000000,m1e,Ward 38,Scarborough-Guildwood,Man,1945,73,50,Very concerned,75,Nothing significant,Nothing/haven't seen any impact so far/a typical weather system,#NULL!,#NULL!,#NULL!,#NULL!,No,NO TO: Municipal (City),Provincial,Federal,NO TO: None of the above,100,No,50,75,75,75,100,75,A significant impact,Somewhat of an impact,A significant impact,A significant impact,A significant impact,Somewhat of an impact,Somewhat of an impact,60,60,60,40,20,100,60,100,100,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO: This is not available for me to do,NO TO: This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,NO TO: I don’t know much about this/it’s confusing,I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Verymotivating,Verymotivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,#NULL!,#NULL!,,Toronto.ca website,NO TO: City of Toronto events,NO TO: Twitter,NO TO: Facebook,NO TO: Instagram,NO TO: City of Toronto e-newsletters / email,Councillor communications,"Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","NO TO: Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,Single-family detached house,#NULL!,,65,0,66,0,Own,2,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",0,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Completed undergraduate degree,"$80,001 to $100,000",English (USA)
